"Club","FileName","Status","SourcePage","WikimediaFile","DownloadUrl","Notes"
"Aldinga Bay Surf Life Saving Club","aldinga-bay-surf-life-saving-club.jpg","Already exists","https://commons.wikimedia.org/wiki/File:Aerial_-_Southern_Beaches.jpg","Aerial_-_Southern_Beaches.jpg","","Open-source locality image. Verify licence and attribution before public launch."
"Beachport Surf Life Saving Club","beachport-surf-life-saving-club.jpg","Already exists","https://commons.wikimedia.org/wiki/File:Penguin_Island,_Beachport_South_Australia.jpg","Penguin_Island,_Beachport_South_Australia.jpg","","Open-source locality image. Verify licence and attribution before public launch."
"Brighton Surf Life Saving Club","brighton-surf-life-saving-club.jpg","Already exists","https://commons.wikimedia.org/wiki/File:Brighton_Beach,_South_Australia.jpg","Brighton_Beach,_South_Australia.jpg","","Open-source locality image. Verify licence and attribution before public launch."
"Chiton Rocks Surf Life Saving Club","chiton-rocks-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Horseshoe_Bay_panorama.jpg","Horseshoe_Bay_panorama.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Horseshoe_Bay_panorama.jpg/1280px-Horseshoe_Bay_panorama.jpg","Temporary nearby Fleurieu locality image. Replace with Chiton Rocks club-approved image when available."
"Christies Beach Surf Life Saving Club","christies-beach-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Christies_Beach_Coastline.JPG","Christies_Beach_Coastline.JPG","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Christies_Beach_Coastline.JPG/1280px-Christies_Beach_Coastline.JPG","Open-source locality image. Verify licence and attribution before public launch."
"Elizabeth Life Saving Club","elizabeth-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Playford_Civic_Centre.jpg","Playford_Civic_Centre.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Playford_Civic_Centre.jpg/1280px-Playford_Civic_Centre.jpg","Open-source Elizabeth locality image. Not a club image."
"Glenelg Surf Life Saving Club","glenelg-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Adelaide_-_Glenelg_Beach_(4158746916).jpg","Adelaide_-_Glenelg_Beach_(4158746916).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Adelaide_-_Glenelg_Beach_%284158746916%29.jpg/1280px-Adelaide_-_Glenelg_Beach_%284158746916%29.jpg","Open-source locality image. Verify licence and attribution before public launch."
"Goolwa Surf Life Saving Club","goolwa-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Goolwa_beach_2009.jpg","Goolwa_beach_2009.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Goolwa_beach_2009.jpg/1280px-Goolwa_beach_2009.jpg","Open-source locality image. Verify licence and attribution before public launch."
"Grange Surf Life Saving Club","grange-surf-life-saving-club.jpg","Already exists","https://commons.wikimedia.org/wiki/File:Grange_Beach,_South_Australia_(31113824464).jpg","Grange_Beach,_South_Australia_(31113824464).jpg","","Open-source locality image. Verify licence and attribution before public launch."
"Henley Surf Life Saving Club","henley-surf-life-saving-club.jpg","Downloaded","https://commons.wikimedia.org/wiki/File:Henley_beach_in_Adelaide_from_the_beach.jpg","Henley_beach_in_Adelaide_from_the_beach.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Henley_beach_in_Adelaide_from_the_beach.jpg/1280px-Henley_beach_in_Adelaide_from_the_beach.jpg","Open-source locality image. Verify licence and attribution before public launch."
